CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,R1_POINTS_2021,R2_POINTS_2021
AC120,International Business                            ,234,234,234,269,209,,294,294
AC137,Liberal Arts                                      ,275,252,252,275,252,,271,270
AD101,First Year Art &amp; Design (Common Entry)        ,,#+Matric,# +matric 550,,,#+matric,#554,
AD102,Graphic Design and Moving Image Design            ,#+Matric,,# +matric 635,,#+matric,,#538,
AD103,Textile &amp; Surface Design and Jewellery &amp; O,cts,#+Matric,# +matric 545,,cts,(,#505,
AD202,Education &amp; Design or Fine Art (Second Level T,h,#+Matric,# +matric 580,,h,#+matric,#591,
AD204,Fine Art                                          ,#+Matric,,# +matric 600,,#+matric,,#514,
AD211,Fashion Design                                    ,#+Matric,,# +matric 600,,#+matric,,#760,#679
AD212,Product Design                                    ,#+Matric,,# +matric 600,,#+matric,,#413,
AD215,Visual Culture                                    ,300,,300,338,377,320,337,300
AD217,Illustration                                      ,#+Matric,,# +matric 625,,#+matric,,#738,
AD222,Interaction Design                                ,#+Matric,,# +matric 657,,#+matric,,#444,
AL801,Software Design with Virtual Reality and Gaming   ,304,,304,328,303,,300,
AL802,Software Design with Cloud Computing              ,301,,301,306,332,,313,
AL803,Software Design with Mobile Apps and Connected Dev,309,,309,337,337,,350,
AL805,Network Management and Cloud Infrastructure       ,329,,329,442,333,,321,
AL810,Quantity Surveying                                ,307,,307,349,319,,328,
AL811,Civil Engineering                                 ,,,,,320,,,
AL820,Mechanical and Polymer Engineering                ,300,,300,358,308,,327,
AL830,General Nursing                                   ,410,,410,429,442,,451*,444
AL832,Psychiatric Nursing                               ,387*,387,387,403,387*,384,440*,431
AL835,Pharmacology                                      ,,,,,,,356,
AL836,Nutrition and Health Science                      ,352,,352,383,334,,346,
AL837,Sports Science with Exercise Physiology           ,351,,351,392,351,,357,
AL838,Biotechnology                                     ,303,,302,372,307,,324,
AL839,Microbiology                                      ,322,,322,371,325,,325,
AL840,Pharmaceutical Sciences                           ,328,,328,411,347,,346,
AL841,Athletic and Rehabilitation Therapy               ,423,,423,430,430,,477,476*
AL842,Bioveterinary Science                             ,310,,310,366,313,,338,
AL843,Physical Activity and Health Science              ,310,,310,330,306,,306,
AL849,Culinary Entrepreneurship                         ,,,,,,,297,
AL850,Business                                          ,307,,307,356,309,,309,
AL851,Business and Law                                  ,301,,301,341,295,,302,
AL852,Accounting (with optional placement)              ,305,290,290,346,309,,336,
AL853,Accounting and Law                                ,305,,305,320,,,,
AL854,Sport Management (with international placement)   ,,,,,302,299,300,299
AL855,Hospitality Management (with International placeme,312,,312,357,308,,309,
AL857,Digital Marketing                                 ,299,,300,360,304,,304,
AL859,International Business                            ,,,,,,,308,
AL860,Social Care Practice                              ,310,309,309,338,300,,301,
AL861,Animation and Illustration (portfolio)            ,#615,,#615,899,#578,,#575,
AL863,Graphic and Digital Design (portfolio)            ,#703,,#703,898,#781,,#747,
AL864,Early Years Care and Education                    ,306,,307,348,307,,306,
AL870,Applied Psychology                                ,409,,409,445,418,,484*,467*
AS001,Education Home Economics and Biology - with concur,468,462,456*,497,510,,542,533
AS002,Education Home Economics and Religious Ed - with c,401*,400*,400*,433,441*,434*,464,452*
AS003,Education Home Economics and Irish - with concurre,430,421,421,457,440*,440,463*,457
AS051,Nutrition Food and Business Management            ,339,337,337,399,328,317,378,347
AS054,Home Economics                                    ,390,387,387,401,408,398,440*,419*
AS110,General Nursing                                   ,398,397,391*,409,419*,,440*,432
AS130,Intellectual Disability Nursing                   ,320,319,317,338,336*,328,387,358
BN101,Business                                          ,252,,252,289,,,,
BN103,Business and Information Technology               ,254,,254,290,,,,
BN104,Computing (Information Technology)                ,260,,260,293,,,,
BN107,Applied Social Studies in Social Care             ,300,,300,328,,,,
BN108,Engineering (Common Entry with Award options)     ,270,,271,318,,,,
BN109,Business (Common Entry with Award options)        ,260,,260,279,,,,
BN110,International Business                            ,253,,253,308,,,,
BN111,Sports Management and Coaching                    ,270,,270,298,,,,
BN112,Creative Digital Media                            ,280,,280,329,,,,
BN113,Horticulture                                      ,290,289,289,321,,,,
BN114,Accounting and Finance                            ,280,,280,332,,,,
BN115,Community and Youth Development                   ,250,,250,298,,,,
BN117,Computer Engineering in Mobile Systems            ,273,,273,311,,,,
BN118,Early Childhood Care and Education                ,290,,290,320,,,,
BN119,Digital Marketing                                 ,270,,270,308,,,,
BN120,Digital Forensics and Cyber Security              ,281,,281,326,,,,
BN121,Mechatronic Engineering                           ,276,,276,340,,,,
BN123,Design Technology and Innovation                  ,271,,297,318,,,,
BY001,Business                                          ,,,,,,,210,210
CI101,Counselling and Psychotherapy (Limerick)          ,276,,276,328,,,,
CI110,Counselling and Psychotherapy                     ,,,,,310,,292,
CI111,Counselling and Addiction Studies                 ,,,,,301,,290,
CI112,Counselling and Youth Studies                     ,,,,,311,,325,
CK101,Arts - 3 years                                    ,300,,300,368,300,,300,
CK102,Social Science                                    ,391,,391,431,412,,434,431
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#340,,#340,409,#302,,#339,
CK105,Film and Screen Media - 3 years or 4 years (Intern,398,397,397,442,368,337,421,420*
CK107,Geographical and Archaeological Sciences - 3 or 4 ,326,,326,388,328,,312,
CK108,Arts International - 4 years                      ,429,,429,466,401,,440*,440
CK109,English - 3 years or 4 years (International Pathwa,349,347,347,423,318,,367,357
CK110,World Languages                                   ,456,,456,506,452,433,488,
CK111,Early Years and Childhood Studies                 ,398,,398,429,419,,409,403
CK112,Theatre and Performative Practices - 3 or 4 years ,#324,,#324,470,#330,,#371,
CK113,Criminology - 3 years or 4 years (International Pa,408,,408,430,423,,464,463
CK114,Social Science (Youth and Community Work) - 3 year,,,#,,,,#,
CK115,Social Work - Mature Applicants only              ,#,,#,,,,,
CK116,Sports Studies and Physical Education             ,499,,499,520,,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,307,,307,361,336,,347,339
CK120,Applied Psychology                                ,523,509,506,532,533*,532*,544,543*
