CODE,TITLE,R1_POINTS_2019,R1_POINTS_2020,R1_POINTS_2021
AC120,International Business                            ,234,209,294
AC137,Liberal Arts                                      ,275,252,271
AD101,First Year Art &amp; Design (Common Entry)        ,,,#554
AD102,Graphic Design and Moving Image Design            ,#+Matric,#+matric,#538
AD103,Textile &amp; Surface Design and Jewellery &amp; O,cts,cts,#505
AD202,Education &amp; Design or Fine Art (Second Level T,h,h,#591
AD204,Fine Art                                          ,#+Matric,#+matric,#514
AD211,Fashion Design                                    ,#+Matric,#+matric,#760
AD212,Product Design                                    ,#+Matric,#+matric,#413
AD215,Visual Culture                                    ,300,377,337
AD217,Illustration                                      ,#+Matric,#+matric,#738
AD222,Interaction Design                                ,#+Matric,#+matric,#444
AL801,Software Design with Virtual Reality and Gaming   ,304,303,300
AL802,Software Design with Cloud Computing              ,301,332,313
AL803,Software Design with Mobile Apps and Connected Dev,309,337,350
AL805,Network Management and Cloud Infrastructure       ,329,333,321
AL810,Quantity Surveying                                ,307,319,328
AL811,Civil Engineering                                 ,,320,
AL820,Mechanical and Polymer Engineering                ,300,308,327
AL830,General Nursing                                   ,410,442,451*
AL832,Psychiatric Nursing                               ,387*,387*,440*
AL835,Pharmacology                                      ,,,356
AL836,Nutrition and Health Science                      ,352,334,346
AL837,Sports Science with Exercise Physiology           ,351,351,357
AL838,Biotechnology                                     ,303,307,324
AL839,Microbiology                                      ,322,325,325
AL840,Pharmaceutical Sciences                           ,328,347,346
AL841,Athletic and Rehabilitation Therapy               ,423,430,477
AL842,Bioveterinary Science                             ,310,313,338
AL843,Physical Activity and Health Science              ,310,306,306
AL849,Culinary Entrepreneurship                         ,,,297
AL850,Business                                          ,307,309,309
AL851,Business and Law                                  ,301,295,302
AL852,Accounting (with optional placement)              ,305,309,336
AL853,Accounting and Law                                ,305,,
AL854,Sport Management (with international placement)   ,,302,300
AL855,Hospitality Management (with International placeme,312,308,309
AL857,Digital Marketing                                 ,299,304,304
AL859,International Business                            ,,,308
AL860,Social Care Practice                              ,310,300,301
AL861,Animation and Illustration (portfolio)            ,#615,#578,#575
AL863,Graphic and Digital Design (portfolio)            ,#703,#781,#747
AL864,Early Years Care and Education                    ,306,307,306
AL870,Applied Psychology                                ,409,418,484*
AS001,Education Home Economics and Biology - with concur,468,510,542
AS002,Education Home Economics and Religious Ed - with c,401*,441*,464
AS003,Education Home Economics and Irish - with concurre,430,440*,463*
AS051,Nutrition Food and Business Management            ,339,328,378
AS054,Home Economics                                    ,390,408,440*
AS110,General Nursing                                   ,398,419*,440*
AS130,Intellectual Disability Nursing                   ,320,336*,387
BN101,Business                                          ,252,,
BN103,Business and Information Technology               ,254,,
BN104,Computing (Information Technology)                ,260,,
