CODE,TITLE,R1_POINTS_2019,R2_POINTS_2019,EOS_2019,MID_2019,R1_POINTS_2020,R2_POINTS_2020,EOS_2020,MID_2020,R1_POINTS_2021,R2_POINTS_2021
AC120,International Business                            ,234,234,234,269.0,209,,209,280,294,294
AC137,Liberal Arts                                      ,275,252,252,275.0,252,,252,270,271,270
AD101,First Year Art & Design (Common Entry)            ,#+Matric,,# +matric 550,,#+matric,,#+matric,#+matric,#554,
AD102,Graphic Design and Moving Image Design            ,#+Matric,,# +matric 635,,#+matric,,#+matric,#+matric,#538,
AD103,Textile & Surface Design and Jewellery & Objects  ,#+Matric,,# +matric 545,,#+matric,,#+matric,#+matric,#505,
AD202,Education & Design or Fine Art (Second Level Teach,#+Matric,,# +matric 580,,#+matric,,#+matric,#+matric,#591,
AD204,Fine Art                                          ,#+Matric,,# +matric 600,,#+matric,,#+matric,#+matric,#514,
AD211,Fashion Design                                    ,#+Matric,,# +matric 600,,#+matric,,#+matric,#+matric,#760,#679
AD212,Product Design                                    ,#+Matric,,# +matric 600,,#+matric,,#+matric,#+matric,#413,
AD215,Visual Culture                                    ,300,,300,338.0,377,320,320,389,337,300
AD217,Illustration                                      ,#+Matric,,# +matric 625,,#+matric,,#+matric,#+matric,#738,
AD222,Interaction Design                                ,#+Matric,,# +matric 657,,#+matric,,#+matric,#+matric,#444,
AL801,Software Design with Virtual Reality and Gaming   ,304,,304,328.0,303,,303,367,300,
AL802,Software Design with Cloud Computing              ,301,,301,306.0,332,,332,382,313,
AL803,Software Design with Mobile Apps and Connected Dev,309,,309,337.0,337,,337,360,350,
AL805,Network Management and Cloud Infrastructure       ,329,,329,442.0,333,,333,360,321,
AL810,Quantity Surveying                                ,307,,307,349.0,319,,326,352,328,
AL811,Civil Engineering                                 ,,,,,320,,320,432,,
AL820,Mechanical and Polymer Engineering                ,300,,300,358.0,308,,308,379,327,
AL830,General Nursing                                   ,410,,410,429.0,442,,442,463,451*,444
AL832,Psychiatric Nursing                               ,387*,387,387,403.0,387*,384,384,399,440*,431
AL835,Pharmacology                                      ,,,,,,,,,356,
AL836,Nutrition and Health Science                      ,352,,352,383.0,334,,334,379,346,
AL837,Sports Science with Exercise Physiology           ,351,,351,392.0,351,,351,384,357,
AL838,Biotechnology                                     ,303,,302,372.0,307,,307,356,324,
AL839,Microbiology                                      ,322,,322,371.0,325,,325,393,325,
AL840,Pharmaceutical Sciences                           ,328,,328,411.0,347,,347,403,346,
AL841,Athletic and Rehabilitation Therapy               ,423,,423,430.0,430,,430,465,477,476*
AL842,Bioveterinary Science                             ,310,,310,366.0,313,,313,383,338,
AL843,Physical Activity and Health Science              ,310,,310,330.0,306,,306,326,306,
AL849,Culinary Entrepreneurship                         ,,,,,,,,,297,
AL850,Business                                          ,307,,307,356.0,309,,309,377,309,
AL851,Business and Law                                  ,301,,301,341.0,295,,295,351,302,
AL852,Accounting (with optional placement)              ,305,290,290,346.0,309,,309,422,336,
AL853,Accounting and Law                                ,305,,305,320.0,,,,,,
AL854,Sport Management (with international placement)   ,,,,,302,299,299,338,300,299
AL855,Hospitality Management (with International placeme,312,,312,357.0,308,,308,347,309,
AL857,Digital Marketing                                 ,299,,300,360.0,304,,304,332,304,
AL859,International Business                            ,,,,,,,,,308,
AL860,Social Care Practice                              ,310,309,309,338.0,300,,300,348,301,
AL861,Animation and Illustration (portfolio)            ,#615,,#615,899.0,#578,,578,878,#575,
AL863,Graphic and Digital Design (portfolio)            ,#703,,#703,898.0,#781,,781,824,#747,
AL864,Early Years Care and Education                    ,306,,307,348.0,307,,307,346,306,
AL870,Applied Psychology                                ,409,,409,445.0,418,,418,444,484*,467*
AS001,Education Home Economics and Biology - with concur,468,462,456*,497.0,510,,518,544,542,533
AS002,Education Home Economics and Religious Ed - with c,401*,400*,400*,433.0,441*,434*,434,466,464,452*
AS003,Education Home Economics and Irish - with concurre,430,421,421,457.0,440*,440,440,484,463*,457
AS051,Nutrition Food and Business Management            ,339,337,337,399.0,328,317,317,398,378,347
AS054,Home Economics                                    ,390,387,387,401.0,408,398,398,429,440*,419*
AS110,General Nursing                                   ,398,397,391*,409.0,419*,,419,431,440*,432
AS130,Intellectual Disability Nursing                   ,320,319,317,338.0,336*,328,317,339,387,358
BN101,Business                                          ,252,,252,289.0,,,,,,
BN103,Business and Information Technology               ,254,,254,290.0,,,,,,
BN104,Computing (Information Technology)                ,260,,260,293.0,,,,,,
BN107,Applied Social Studies in Social Care             ,300,,300,328.0,,,,,,
BN108,Engineering (Common Entry with Award options)     ,270,,271,318.0,,,,,,
BN109,Business (Common Entry with Award options)        ,260,,260,279.0,,,,,,
BN110,International Business                            ,253,,253,308.0,,,,,,
BN111,Sports Management and Coaching                    ,270,,270,298.0,,,,,,
BN112,Creative Digital Media                            ,280,,280,329.0,,,,,,
BN113,Horticulture                                      ,290,289,289,321.0,,,,,,
BN114,Accounting and Finance                            ,280,,280,332.0,,,,,,
BN115,Community and Youth Development                   ,250,,250,298.0,,,,,,
BN117,Computer Engineering in Mobile Systems            ,273,,273,311.0,,,,,,
BN118,Early Childhood Care and Education                ,290,,290,320.0,,,,,,
BN119,Digital Marketing                                 ,270,,270,308.0,,,,,,
BN120,Digital Forensics and Cyber Security              ,281,,281,326.0,,,,,,
BN121,Mechatronic Engineering                           ,276,,276,340.0,,,,,,
BN123,Design Technology and Innovation                  ,271,,297,318.0,,,,,,
BY001,Business                                          ,,,,,,,,,210,210
CI101,Counselling and Psychotherapy (Limerick)          ,276,,276,328.0,,,,,,
CI110,Counselling and Psychotherapy                     ,,,,,310,,310,392,292,
CI111,Counselling and Addiction Studies                 ,,,,,301,,301,319,290,
CI112,Counselling and Youth Studies                     ,,,,,311,,311,311,325,
CK101,Arts - 3 years                                    ,300,,300,368.0,300,,300,388,300,
CK102,Social Science                                    ,391,,391,431.0,412,,412,451,434,431
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,#340,,#340,409.0,#302,,302,435,#339,
CK105,Film and Screen Media - 3 years or 4 years (Intern,398,397,397,442.0,368,337,319,418,421,420*
CK107,Geographical and Archaeological Sciences - 3 or 4 ,326,,326,388.0,328,,328,388,312,
CK108,Arts International - 4 years                      ,429,,429,466.0,401,,401,466,440*,440
CK109,English - 3 years or 4 years (International Pathwa,349,347,347,423.0,318,,318,441,367,357
CK110,World Languages                                   ,456,,456,506.0,452,433,410,506,488,
CK111,Early Years and Childhood Studies                 ,398,,398,429.0,419,,419,451,409,403
CK112,Theatre and Performative Practices - 3 or 4 years ,#324,,#324,470.0,#330,,330,434,#371,
CK113,Criminology - 3 years or 4 years (International Pa,408,,408,430.0,423,,423,463,464,463
CK114,Social Science (Youth and Community Work) - 3 year,,,#,,,,777,,#,
CK115,Social Work - Mature Applicants only              ,#,,#,,,,999,,,
CK116,Sports Studies and Physical Education             ,499,,499,520.0,,,,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,307,,307,361.0,336,,336,378,347,339
CK120,Applied Psychology                                ,523,509,506,532.0,533*,532*,531,555,544,543*
CK121,Psychology and Computing - 3 or 4 years (Work Expe,402,393,393,466.0,466,,466,496,499,488
CK122,Government and Political Science                  ,355,,355,410.0,337,328,326,403,399,
CK123,Anthropology                                      ,,,,,308,,308,410,308,
CK124,Education - Gaeilge                               ,,,,,463,462,452,495,473,
CK125,Sports Studies and Physical Education             ,,,,,510*,509*,509,532,564,555*
CK201,Commerce                                          ,465*,,465*,489.0,477*,,477,509,500,499*
CK202,Accounting                                        ,467,,467,506.0,509,,509,542,553,543*
CK203,Business Information Systems                      ,409,,409,444.0,430,,430,467,455,452
CK204,Finance                                           ,531,,531,555.0,556,,556,590,566*,566*
CK205,Commerce (International) with French              ,423,409,409,473.0,445,,445,495,465,
CK206,Commerce (International) with German              ,408,,408,446.0,420,418,418,476,466,455
CK207,Commerce (International) with Italian             ,408,,408,425.0,388,,388,455,423,418
CK208,Commerce (International) with Hispanic Studies    ,431,,431,455.0,402,,402,484,488,486
CK209,Commerce (International) with Irish               ,509,,509,528.0,484,,484,531,507,
CK211,Commerce (International) with Chinese Studies     ,398,,398,420.0,397,,397,433,385,
CK212,Economics (Transformational Learning) - 3 or 4 yea,400,,400,429.0,444,,444,473,445,444
CK213,Food Marketing and Entrepreneurship               ,,,,,462,,462,476,466,
CK214,International Development                         ,,,,,346,,346,422,332,
CK301,Law (Pathways) - 3 or 4 years                     ,476,,476,519.0,507,499,498,531,533,532*
CK302,Law and French                                    ,453,,453,531.0,542,,542,576,545,
CK304,Law and Irish                                     ,462,,462,510.0,540,,540,565,588,
CK307,Law and Business                                  ,522,,522,554.0,556,,556,589,589*,589*
CK401,Computer Science                                  ,402,,402,456.0,468,,468,509,503,495
CK402,Biological and Chemical Sciences                  ,498,,498,520.0,510*,509*,509,532,555*,555
CK404,Biological Earth and Environmental Sciences       ,412,,412,451.0,467,,465,498,500,495*
CK405,Genetics                                          ,478,476*,476,496.0,487,,487,498,543,
CK406,Chemical Sciences                                 ,465,457,457,488.0,485,472,462,494,532,
CK407,Mathematical Sciences                             ,554,531,531,578.0,566,565*,565,601,566,
CK408,Physics and Astrophysics                          ,511,,511,566.0,554,542,531,589,566,
CK409,Industrial Physics (offered jointly by UCC and CIT,413,,413,532.0,432,,432,499,465,
CK411,Data Science and Analytics                        ,509,,509,542.0,510,,509,554,531,
CK412,Agricultural Science                              ,473,457,457,509.0,496*,496*,489,510,506,
CK502,Food Marketing and Entrepreneurship               ,433,,433,456.0,,,,,,
CK504,Nutritional Sciences                              ,492,,492,509.0,518,,517,554,555,554*
CK505,Food Science                                      ,444,,444,477.0,441,440*,420,465,463,
CK506,International Development and Food Policy         ,380,367,367,410.0,,,,,,
CK600,Engineering                                       ,476,465*,465,532.0,487,,487,532,510,509*
CK606,Architecture (offered jointly by UCC and CIT)     ,465,,465,496.0,484,476,469,510,543,
CK701,Medicine (Undergraduate Entry - HPAT required)    ,#729,,#729,740.0,#731,,731,739,#738,#737*
CK702,Dentistry                                         ,590,,590,613.0,613*,613*,613,613,625*,625*
CK703,Pharmacy                                          ,577,,577,589.0,590,589*,589,602,613*,613*
CK704,Occupational Therapy                              ,533,532*,532*,554.0,566,555*,555,577,601*,
CK705,Speech and Language Therapy                       ,511,509*,509,529.0,520,,520,541,568,566*
CK706,Public Health Sciences                            ,420,419,419,451.0,454,,454,477,500,
CK707,Medical and Health Sciences                       ,521,512,510*,543.0,542,541,541,555,578*,
CK710,General Nursing                                   ,444*,443*,440,466.0,454*,,454,477,498*,497*
CK712,Children`s and General Nursing (Integrated)       ,509*,499*,499,520.0,533,,533,553,565,
CK720,Mental Health Nursing                             ,413,,398,429.0,423,,419,440,455,452
CK730,Intellectual Disability Nursing                   ,388,369,359,388.0,419,411,400,433,431,
CK740,Midwifery                                         ,454,,444,474.0,484,,473,507,509*,
CK791,Medicine - Graduate Entry (GAMSAT required)       ,,,#58*,59.0,#57*,,57,58,#60*,#60*
CM001,Education - Primary Teaching                      ,453,452*,452*,462.0,484*,,484,487,508,
CM002,Education - Primary Teaching - Gaeltacht Applicant,#421,,#421,440.0,,,,,#462,
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#491,,#491,506.0,#528,,528,570,#513,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,#492,,#492,569.0,#494,,494,513,#480,
CM010,Education Studies                                 ,317,317,317,373.0,319,,317,407,382,327
CM020,Early Childhood Education                         ,336,,336,363.0,327,,327,390,317,
CR105,Chemical and Biopharmaceutical Engineering        ,432,,432,498.0,443,,443,532,443,
CR106,Software Development                              ,351,,351,393.0,411,,411,463,431,
CR108,Mechanical Engineering                            ,425,,425,487.0,434,,434,509,434,
CR109,Structural Engineering                            ,341,,341,467.0,394,,394,423,396,
CR110,Automotive Business Management and Technology     ,318,,318,347.0,311,,311,362,336,
CR112,Creative Digital Media                            ,335,,335,389.0,361,,361,430,390,
CR116,Computer Systems                                  ,318,,318,381.0,332,,332,393,365,
CR121,Music at CIT Cork School of Music                 ,#633,,#633,1052.0,#868,#666,912,1078,#904,#904
CR125,Popular Music: Electric Bass Guitar at CIT Cork Sc,#972,,#972,1021.0,#1088,,1088,1088,#1028,
CR126,Popular Music: Drums at CIT Cork School of Music  ,#806,,#878,1043.0,#801,,801,940,,
CR127,Popular Music: Electric Guitar at CIT Cork School ,#647,#584,#584,761.0,#838,#768,768,978,,
CR128,Popular Music: Keyboards at CIT Cork School of Mus,#839,,#839,1009.0,#840,,840,881,,
CR129,Popular Music: Voice at CIT Cork School of Music  ,#899,#857,#857,927.0,#841,,841,966,,
CR130,Musical Theatre                                   ,#545,#500,#500,600.0,#548,#518,505,600,#525,
CR150,Business Information Systems                      ,326,,326,371.0,335,,335,391,350,
CR210,Contemporary Applied Art (Ceramics Glass Textiles),#708,,#979,979.0,#790,,#+matric,#+matric,#450,
CR220,Fine Art at CIT Crawford College of Art and Design,#620,,#620,819.0,#671,,#+matric,#+matric,#400,
CR225,Photography with New Media                        ,#920,,#920,920.0,#250,,#+matric,#+matric,#435,
CR305,Physical Sciences (Common Entry)                  ,279,,279,309.0,282,,282,356,260,
CR310,IT Management                                     ,282,,282,317.0,297,,297,339,347,
CR320,Biomedical Science (Offered jointly by CIT and UCC,546,,546,556.0,565,,565,577,590*,
CR325,Pharmaceutical Biotechnology                      ,388,,388,422.0,398,,398,440,466,
CR333,Nutrition and Health Science                      ,360,,360,393.0,402,,402,433,425,
CR335,Biological Sciences (Common Entry)                ,381,,381,419.0,420,,420,451,473,
CR340,Analytical Chemistry with Quality Assurance       ,288,,288,315.0,251,,251,366,327,
CR360,Instrument Engineering                            ,291,,291,329.0,261,,261,388,301,
CR365,Environmental Science and Sustainable Technology  ,334,,334,362.0,253,,253,341,262,
CR370,Agri-Biosciences                                  ,399,,408,431.0,397,,397,453,368,
CR400,Accounting                                        ,316,,316,389.0,316,,316,413,315,
CR420,Marketing                                         ,288,,288,329.0,285,,285,346,290,
CR425,International Business with Language              ,300,,300,392.0,298,,298,412,279,
CR430,Sport and Exercise Management                     ,,,,,322,,322,407,402,
CR435,Coaching Science and Sports Pedagogy              ,,,,,,,,,410,
CR440,Montessori Education                              ,,,,,288,,288,362,409,408
CR500,Engineering (Common Entry)                        ,381,,381,424.0,411,,411,465,475,
CR510,Sustainable Energy Engineering                    ,319,,319,343.0,320,,320,389,320,
CR520,Biomedical Engineering                            ,434,,434,477.0,444,,444,488,444,
CR560,Architectural Technology                          ,288,,288,332.0,308,,308,377,375,
CR565,Interior Architecture                             ,336,,336,390.0,359,,359,423,431,
CR570,Quantity Surveying                                ,279,,279,342.0,336,,336,392,375,
CR572,Construction Management                           ,253,,253,300.0,269,,269,318,300,
CR580,Electrical Engineering                            ,344,,344,374.0,318,,318,377,342,
CR590,Electronic Engineering                            ,342,,342,411.0,303,,303,379,329,
CR600,Visual Communications                             ,#587,,#587,888.0,#562,,#+matric,#+matric,#280,
CR660,Tourism Management                                ,249,,249,290.0,252,,252,325,246,
CR700,Theatre and Drama Studies at CIT Cork School of Mu,#768,,#768,906.0,#740,#645,645,982,#609,#609
CR930,Home Economics and Business                       ,,,,,,,,,518*,
CT125,Information Technology                            ,235,,235,280.0,220,,220,299,242,242
CT325,Business                                          ,,,,,338,,281,338,253,253
CW018,Business (options Wexford)                        ,327,,327,349.0,298,248,248,312,307,
CW028,Early Childhood Education and Care (Wexford)      ,252,,252,308.0,252,,252,301,260,
CW038,Art (portfolio Wexford)                           ,#700,,#700,700.0,#700,,700,700,#700,
CW058,Tourism and Event Management (Wexford)            ,252,,252,262.0,298,,298,348,292,
CW068,Applied Social Studies - Professional Social Care ,251,,251,280.0,245,,245,292,250,
CW078,Sustainable Farm Management and Agribusiness (Wexf,266,,266,320.0,269,,269,327,270,
CW088,Visual Communications and Design (Wexford)        ,309,,309,345.0,274,,274,340,270,
CW108,Science (options)                                 ,261,,261,326.0,261,,261,346,266,
CW128,Brewing and Distilling                            ,271,,271,298.0,263,,263,318,307,
CW138,Sport and Exercise Science                        ,,,,,423,,423,444,430,423
CW148,Strength and Conditioning                         ,,,,,379,,379,400,388,
CW178,Sport Science (options)                           ,399,,399,424.0,,,,,,
CW188,Sport Rehabilitation and Athletic Therapy         ,454,,454,473.0,451,448,448,466,451,
CW208,Computer Games Development                        ,281,,281,338.0,279,,279,327,272,
CW238,Software Development                              ,300,,300,343.0,297,,297,341,295,
CW248,Information Technology Management                 ,307,,307,357.0,285,,285,385,293,
CW258,Cybercrime and IT Security                        ,300,,300,328.0,293,,293,358,292,
CW268,Computing in Interactive Digital Art and Design   ,274,,274,321.0,287,,287,369,291,
CW438,Construction (options)                            ,271,,271,308.0,272,,272,336,260,251
CW468,Architectural Technology                          ,252,,252,290.0,262,,262,358,291,283
CW478,Civil Engineering                                 ,383,348,348,383.0,433,,433,492,465,
CW548,Mechanical Engineering                            ,310,,310,351.0,321,,321,371,330,328
CW558,Electronic Systems                                ,279,,279,338.0,280,,280,361,280,
CW568,Aerospace Engineering                             ,366,,366,422.0,380,,380,442,371,359
CW578,TV and Media Production                           ,327,,327,361.0,325,,325,420,318,
